,subject,value,hemi,region,sex,age,yeo_label
92,41372,0.03589698975182737,right,98,F,10.957,Default Mode
93,41083,0.03765766299852067,right,98,F,11.154,Default Mode
94,40706,0.03600250069992369,right,98,F,11.231,Default Mode
95,34847,0.03772265887759906,right,98,M,12.027,Default Mode
96,39834,0.03879453830517642,right,98,F,12.255,Default Mode
97,39599,0.040050843184026325,right,98,F,12.329,Default Mode
98,34110,0.03792231316808307,right,98,M,12.929,Default Mode
99,39437,0.039562278071893116,right,98,F,13.005,Default Mode
100,33111,0.03909848740365449,right,98,M,13.992,Default Mode
101,32479,0.03831872115357862,right,98,M,14.921,Default Mode
102,32287,0.03948282357409722,right,98,M,14.984,Default Mode
103,37169,0.037453972568274214,right,98,F,15.107,Default Mode
104,37693,0.036917605311285795,right,98,F,15.14,Default Mode
105,36831,0.035271544804917974,right,98,F,15.775,Default Mode
106,36374,0.03854884036856448,right,98,F,15.836,Default Mode
107,36422,0.036282313283067934,right,98,M,15.932,Default Mode
108,36574,0.03557365476887827,right,98,M,16.041,Default Mode
109,36657,0.03564820157891523,right,98,F,16.255,Default Mode
110,36352,0.036012139179509066,right,98,M,16.444,Default Mode
111,35949,0.03536637537428718,right,98,M,16.956,Default Mode
112,35671,0.03673032519993047,right,98,F,16.992,Default Mode
113,35545,0.037419610529030145,right,98,F,17.129,Default Mode
114,35580,0.03611314771325191,right,98,M,17.273,Default Mode
115,35306,0.03712693168557074,right,98,M,17.614,Default Mode
116,34839,0.03956549601280828,right,98,F,18.022,Default Mode
117,35241,0.035275140044555946,right,98,F,18.114,Default Mode
118,34884,0.03514936705187632,right,98,M,18.311,Default Mode
119,33825,0.04008384547660323,right,98,M,18.855,Default Mode
120,33734,0.036104221806583243,right,98,M,19.082,Default Mode
121,35253,0.03451685913494261,right,98,M,19.154,Default Mode
122,33278,0.0364320081191963,right,98,F,19.764,Default Mode
123,33199,0.038347178242935695,right,98,F,19.901,Default Mode
124,33002,0.034681502428383075,right,98,F,20.339,Default Mode
125,33882,0.035697130161283064,right,98,F,21.607,Default Mode
126,32924,0.037334137260292895,right,98,F,22.563,Default Mode
127,29949,0.03989495288217467,right,98,F,26.428,Default Mode
128,49134,0.04334487779971996,left,131,F,1.131,Visual
129,49112,0.04407721191928876,left,131,F,1.982,Visual
130,48233,0.04396598768302576,left,131,M,1.988,Visual
131,49050,0.045700866825897864,left,131,F,1.993,Visual
132,49041,0.04272541598789122,left,131,M,1.996,Visual
133,49225,0.045839846434037,left,131,F,1.999,Visual
134,47979,0.04635555648920057,left,131,M,2.001,Visual
135,49196,0.04683515046563639,left,131,F,2.004,Visual
136,48184,0.04506766942088954,left,131,M,2.007,Visual
137,49078,0.044611244122740694,left,131,M,2.01,Visual
138,42019,0.04090816117783073,left,131,M,3.816,Visual
139,41807,0.0427746162224052,left,131,M,3.904,Visual
140,41716,0.04249345087891067,left,131,M,3.907,Visual
141,41854,0.043431956234001555,left,131,M,3.915,Visual
142,41651,0.04312922056794289,left,131,M,3.948,Visual
143,41547,0.042338034013316865,left,131,M,3.973,Visual
144,41519,0.04586711226234807,left,131,M,3.981,Visual
145,41463,0.04437451265800189,left,131,M,4.074,Visual
146,41458,0.04200670215676126,left,131,M,4.112,Visual
147,40033,0.04310827433165967,left,131,M,5.899,Visual
148,39066,0.04323174710824266,left,131,M,6.877,Visual
149,44444,0.04134282068214779,left,131,F,7.149,Visual
150,37972,0.04450115422898941,left,131,M,8.016,Visual
151,36824,0.043356259230761314,left,131,M,9.775,Visual
152,36464,0.040401303229512506,left,131,M,9.945,Visual
153,36291,0.044225939347850955,left,131,M,10.036,Visual
154,41759,0.04389747281297243,left,131,F,10.259,Visual
155,41645,0.041319001673582746,left,131,F,10.322,Visual
156,41372,0.04112315469854919,left,131,F,10.957,Visual
157,41083,0.04171782445207998,left,131,F,11.154,Visual
158,40706,0.04334636897567117,left,131,F,11.231,Visual
159,34847,0.04408408818335681,left,131,M,12.027,Visual
160,39834,0.0438920330019013,left,131,F,12.255,Visual
161,39599,0.042863046331065524,left,131,F,12.329,Visual
162,34110,0.04315770771018229,left,131,M,12.929,Visual
163,39437,0.04112576741078578,left,131,F,13.005,Visual
164,33111,0.04116847476867251,left,131,M,13.992,Visual
165,32479,0.04283069607440217,left,131,M,14.921,Visual
166,32287,0.04369154359843215,left,131,M,14.984,Visual
167,37169,0.04143971890264468,left,131,F,15.107,Visual
168,37693,0.04374694298245977,left,131,F,15.14,Visual
169,36831,0.043809380081557145,left,131,F,15.775,Visual
170,36374,0.04256602259001255,left,131,F,15.836,Visual
171,36422,0.04697102976343785,left,131,M,15.932,Visual
